da_.net_framework_4_client_profile_x86_langpack_539645.exe,".NET Framework 4 Client Profile (x86) LangPack - (Danish)",4f749c331feeff223cf711840044dc61a98fdf5c
da_.net_framework_4_client_profile_x86_x64_langpack_539645.exe,".NET Framework 4 Client Profile (x86 and x64) LangPack - (Danish)",f586abfa9e426da575ac86839ef26b7596c52cad
da_.net_framework_4_full_x86_langpack_539648.exe,".NET Framework 4 Full (x86) LangPack - (Danish)",af120744d8a7f794f3de271993df2491046de8e0
da_.net_framework_4_full_x86_x64_langpack_539648.exe,".NET Framework 4 Full (x86 and x64) LangPack - (Danish)",c01ff4b2385abf5f9dbc3920e08ff107c5d142c6
da_.net_framework_4.5_language_pack_r2_x86_x64_1076147.exe,".NET Framework 4.5 Language Pack (x86 and x64) - (Danish)",c0e04f72405d74af39d94f265a118d4c3eb64442
da_.net_fx_4_5_1_lp_windows_vistasp2_windows_7sp1_windows_8_windows_server_2008sp2_windows_server_2008r2sp1_windows_server_2012_x86_x64_3009849.exe,".NET Framework 4.5.1 Language Pack - Windows Vista SP2, Windows 7 SP1, Windows 8, Windows Server 2008 SP2, Windows Server 2008 R2 SP1, Windows Server 2012 (x86 and x64) - (Danish)",853f26bddf55f000051ab836c5fdb4de53cdf199
da_2007_microsoft_office_suite_service_pack_2_x86.exe,"2007 Microsoft Office Suite Service Pack 2 (x86) - (Danish)",2b49e7b001cba82bfa9b3813f7b40db5ccbb6930
da_2007_office_servers_service_pack_2_x64.exe,"Office Servers 2007 Service Pack 2 (x64) - (Danish)",4d9b6bb56aa5ab88a0f585fccf88fe9e5111c7cc
da_2007_office_servers_service_pack_2_x86.exe,"Office Servers 2007 Service Pack 2 (x86) - (Danish)",f580c7975a701605ff422f259af1cc2f081367d7
da_access_2003.iso,"Office Access 2003 (Danish)",c178e69ab23dfb03c030bbb9359885c19f722282
da_access_2010_x64_520854.exe,"Access 2010 (x64) - (Danish)",5236c9e8308fe7169048bd21167635768377a470
da_access_2010_x86_520848.exe,"Access 2010 (x86) - (Danish)",cdf64e21e26598cca6d421bd634879324809ecda
da_access_2010_x86_x64_dvd_520850.iso,"Access 2010 (x86 and x64) - DVD (Danish)",902c445ef5dd4ffe81e295df0efdf465ea316758
da_access_2013_x64_1357864.exe,"Access 2013 (x64) - (Danish)",01c511772f54cf35381371e78342bf9e906a95ce
da_access_2013_x86_1357862.exe,"Access 2013 (x86) - (Danish)",d7480997615a659a85aa43abf703f51a9ed2fdb8
da_access_2013_x86_x64_dvd_1340262.iso,"Access 2013 (x86 and x64) - DVD (Danish)",e0fb9f5eea2d4b0b5902266a5edbb03fdd235104
da_business_contact_manager_for_outlook_2010_x64_521626.exe,"Business Contact Manager for Outlook 2010 (x64) - (Danish)",9bf9e4e986c6cae5a08a27f0943aab5dfb573b6a
da_business_contact_manager_for_outlook_2010_x86_511077.exe,"Business Contact Manager for Outlook 2010 (x86) - (Danish)",8a637242dabb610d2964e018e9dbc9d577ac4075
da_business_contact_manager_for_outlook_2010_x86_x64_dvd_511075.iso,"Business Contact Manager for Outlook 2010 (x86 and x64) - DVD (Danish)",ada129617ff45d4560716495e8de960224b97bf6
da_crm_3.0_professional_cd1_x13-18484.iso,"Microsoft Dynamics CRM 3.0 Professional Edition - CD 1 (Danish)",ec72ff42c264a33a4326105c708cff9b03e03048
da_crm_3.0_professional_cd2_x13-09483.iso,"Microsoft Dynamics CRM 3.0 Professional Edition - CD 2 (Danish)",31aabb5e9b957f0805060f3db551fb51b3368616
da_crm_3.0_small_business_cd1_x13-18484.iso,"Microsoft Dynamics CRM 3.0 Small Business Edition - CD 1 (Danish)",ec72ff42c264a33a4326105c708cff9b03e03048
da_crm_3.0_small_business_cd2_x13-09483.iso,"Microsoft Dynamics CRM 3.0 Small Business Edition - CD 2 (Danish)",31aabb5e9b957f0805060f3db551fb51b3368616
da_crm_30_datamigration.exe,"CRM 3.0 Data Migration Pack (Danish)",c23e42aeeb4b88582542a371d083ceebbe0bd9cc
da_dataacc.exe,"Danish Data Access Pack",e4accfa347d400ee1a87daa5a4a3c1817de1f4c8
da_dynamics_crm_4.0_enterprise_professional_workgroup_x86_dvd_x14-29962.iso,"Dynamics CRM 4.0 Enterprise, Professional, and Workgroup Editions (x86) - DVD (Danish)",9eec5dc4faaaa720a3d9364aceb80f0f83fe87e9
da_ie6.exe,"Internet Explorer 6.0 (Danish)",affb218379810a12914a8d8697707b018736d3a9
da_ie60_sp1.exe,"Internet Explorer 6.0 with Service Pack 1 (Danish)",23b2023cdc9b37e26f54693f113053bdd5fcdcac
da_ie7_for_win_xp_sp2_x86.exe,"Windows Internet Explorer 7 for Windows XP SP2 (x86) (Danish)",87ea528bd8c175a190b904b01e8c899c21742b6e
da_infopath_2010_x64_520858.exe,"InfoPath 2010 (x64) - (Danish)",9af414e62ae65fb899c39c57cf0c45bec13083ef
da_infopath_2010_x86_520811.exe,"InfoPath 2010 (x86) - (Danish)",c3afb8f4e2ee651969cffdaf27a0887f1912f659
da_infopath_2010_x86_x64_dvd_520866.iso,"InfoPath 2010 (x86 and x64) - DVD (Danish)",3a63f5f358f8b13962bf0692b2c56687296efed2
da_infopath_2013_x64_1358204.exe,"InfoPath 2013 (x64) - (Danish)",8f9bd16414e5c526b7a822d288ffc2a1cd0c6264
da_infopath_2013_x86_1358203.exe,"InfoPath 2013 (x86) - (Danish)",c2a54986c26a0e6649d28e0b0a79c6e19853acfe
da_infopath_2013_x86_x64_dvd_1340134.iso,"InfoPath 2013 (x86 and x64) - DVD (Danish)",5320b6acadfe0cc2070f051ef0374f811611934e
da_lync_2010_x64_615697.exe,"Lync 2010 (x64) - (Danish)",1e24908f5ba6f591b8f6aad4647e7d4f4bc9020d
da_lync_2010_x86_615692.exe,"Lync 2010 (x86) - (Danish)",0bd4828f1e51bbb4b47ab519388e06a8463596ab
da_lync_2013_with_sp1_x86_and_x64_dvd_3857330.iso,"Lync 2013 with Service Pack 1 (x86 and x64) - DVD (Danish)",d5b5fd32987acedf781cea93997df833b2b33c4b
